bundle,target,seed,kappa,step,scaled_hessian_max,scaled_hessian_min,largest_mode_update_eigenvalue,readout_l2,top_mode_slope_fraction,top_mode_hidden_bias_fraction,top_mode_readout_fraction,top_mode_output_bias_fraction
core_N128_s0,moment3,0,1.0,600000,0.05761089694344229,-4.423959304976558e-07,0.9423891030565577,8.031020503319887,0.020576992221022612,0.8770694230697016,0.06983060454062923,0.032522980168646444
core_N128_s0,moment3,0,100.0,600000,2.0000003124599757,-0.0011343365650219334,-1.0000003124599757,32.57435945938366,1.3890596153618427e-05,0.7376152598997461,0.1637995609817725,0.09857128852232876
core_N128_s0,moment5,0,1.0,600000,0.010335479367133823,-2.0464885679768984e-07,0.9896645206328661,1.4873172975543933,2.6139132662020778e-05,0.41484859852025496,0.3916236925553537,0.19350156979172917
core_N128_s0,moment5,0,100.0,600000,0.6138710604987399,-5.176041111717322e-07,0.38612893950126015,1.5236549290273758,4.377061658155415e-07,0.007338594976590214,0.6668694164121652,0.32579155090507844
core_N128_s0,moment9,0,1.0,600000,0.010340809268792139,-2.7305389732863312e-08,0.9896591907312079,1.4880026465970408,2.5884879973317018e-05,0.4150646600579757,0.3915074420105677,0.1934020130514838
core_N128_s0,moment9,0,100.0,600000,0.613847249218675,-4.7974997506946016e-08,0.38615275078132505,1.5072239492884685,4.0413321377054107e-07,0.007182864024223349,0.667012875550071,0.3258038562924918
core_N128_s1,sine,1,1.0,20000,0.009839539050052932,-4.576899848319729e-06,0.990160460949947,1.4344406737804358,8.951008522279683e-05,0.40505570222577914,0.3917165542731148,0.20313823341588416
core_N128_s1,sine,1,100.0,20000,0.5915043159757971,-2.6844553436153214e-05,0.4084956840242029,1.6111133912629731,5.006013774944036e-06,0.008491170096201591,0.6539865657273072,0.33751725816271666
core_N128_s1,runge,1,1.0,20000,0.009765781680316547,-1.6156715644073335e-05,0.9902342183196835,1.416765637180461,9.846740029716703e-05,0.39828824340468916,0.3969546016083232,0.20465868758669026
core_N128_s1,runge,1,100.0,20000,0.6587056970731934,-0.00019526857257593042,0.3412943029268066,4.705849954679295,0.00010120825404103059,0.06047867725860417,0.6363130861206373,0.30310702836671766
core_N128_s1,moment3,1,1.0,20000,0.01004412122720887,-1.1937251744251883e-05,0.9899558787727911,1.464129097266459,0.00014570730559404336,0.41335427183613593,0.3875965283955207,0.19890349246274946
core_N128_s1,moment3,1,100.0,20000,0.6028814485974748,-0.0001638741141899223,0.39711855140252517,2.9542423127888395,2.0072470067046147e-05,0.027935573934709877,0.6410617899255298,0.33098256366969353
core_N128_s1,moment5,1,1.0,20000,0.01001412343562949,-3.5362078888949583e-07,0.9899858765643705,1.4607134800761725,0.00014375486153060245,0.41227424220816744,0.3880774992469777,0.1995045036833251
core_N128_s1,moment5,1,100.0,20000,0.5908438381175909,-4.922319960113466e-07,0.4091561618824091,1.5061789460118005,4.700803130351493e-06,0.0074373686317192435,0.6547018297333874,0.33785610083176226
core_N128_s1,moment9,1,1.0,20000,0.010014309983080994,-2.887403630883966e-08,0.989985690016919,1.4607285837999922,0.0001437338929280807,0.4122784217383052,0.3880770266101307,0.19950081775863607
core_N128_s1,moment9,1,100.0,20000,0.5908485842231782,-8.389011385470024e-08,0.4091514157768218,1.5062208826847876,4.7004457638637475e-06,0.007437936686528246,0.6547040217808942,0.3378533410868138
core_N128_s1,sine,1,1.0,100000,0.009882260347787337,-5.541866661603383e-06,0.9901177396522126,1.4409089624662845,7.171995383408665e-05,0.4071682264080622,0.3904693251962071,0.20229072844189572
